Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brandon Nimmo","TEX",146,630,554,139,91,26,2,20,80,69,61,1,138,9,4,2,,9,2,0.250329,0.0965956,0.219448,0.440174,0.332331,0.41095,0.325635,0.743281,0.16062,4.5661,0.297116,-0.14877,0.0603695,80.8738,6.43442,110.267,-0.0884009,2.33263,7.534923031926155,-5.317372798919678,2.44538,143.82000732421875,,,,,,,720.7,4.936301369,720.7,4.936301369,,,,,,,,,,,,,,,,,,,"Brandon Nimmo","12927",607043
"Jonathan Aranda","TBR",141,609,532,141,94,25,0,21,77,80,62,3,155,10,5,0,,2,1,0.26569,0.101434,0.255118,0.397597,0.35012,0.434963,0.341552,0.785082,0.169273,2.44103,0.333349,-1.31024,-1.15687,86.0485,14.0904,118.944,-2.46711,3.54464,11.130566120147705,-8.230361223220825,2.44128,195.1699981689453,,,,,,,744.5,5.280141843,744.5,5.280141843,,,,,,,,,,,,,,,,,,,"Jonathan Aranda","21837",666018
"Lawrence Butler","ATH",134,581,523,129,78,27,2,22,76,74,51,0,148,2,3,2,,19,5,0.246479,0.0882926,0.25513,0.346069,0.313874,0.430416,0.322582,0.74429,0.183937,5.32564,0.300496,0.514011,0.81492,73.1437,4.49403,103.939,1.32893,3.48327,4.026321291923523,-0.2417278289794922,2.43316,156.80999755859375,,,,,,,677,5.052238805,677,5.052238805,,,,,,,,,,,,,,,,,,,"Lawrence Butler","22542",671732
"Matt McLain","CIN",144,623,549,129,83,26,2,19,79,68,60,0,172,8,4,2,,18,4,0.235411,0.0967804,0.276257,0.350327,0.317555,0.391231,0.311959,0.708786,0.15582,5.31938,0.30499,0.164859,0.971049,73.0581,-0.554197,94.4073,1.13591,3.58582,-2.9936511516571045,6.010817766189575,2.42936,167.22999572753906,,,,,,,665.8,4.623611111,665.8,4.623611111,,,,,,,,,,,,,,,,,,,"Matt McLain","29695",680574
"Max Muncy","LAD",105,455,375,82,45,15,1,21,60,62,69,2,114,6,4,0,,3,0,0.219795,0.151975,0.251412,0.604487,0.34713,0.43783,0.341888,0.78496,0.218035,3.44429,0.250507,-0.711946,-0.457253,64.4129,10.6512,120.298,-1.1692,-2.59576,9.777026057243347,-1.2707576751708984,2.4191,243.5399932861328,,,,,,,561.5,5.347619047,561.5,5.347619047,,,,,,,,,,,,,,,,,,,"Max Muncy","13301",571970
"George Springer","TOR",138,595,522,134,85,23,2,25,86,75,61,1,116,7,4,1,,13,3,0.257571,0.10327,0.194201,0.531768,0.341739,0.449143,0.343057,0.790882,0.191572,5.10999,0.285163,0.268878,0.639871,84.7972,14.4934,121.466,0.90875,-0.0666761,15.962710618972778,-12.84167567640543,2.41457,92.94999694824219,,,,,,,761.8,5.520289855,761.8,5.520289855,,,,,,,,,,,,,,,,,,,"George Springer","12856",543807
"Wilyer Abreu","BOS",120,518,455,112,66,25,1,21,67,71,56,4,127,3,4,0,,8,3,0.247313,0.108943,0.245793,0.443233,0.331543,0.445401,0.334605,0.776944,0.198087,4.03,0.294965,-0.0111308,-0.449695,70.269,9.06326,110.845,-0.460826,5.12471,6.16012367606163,-0.5252928733825684,2.40061,207.49000549316406,,,,,,,631.6,5.263333333,631.6,5.263333333,,,,,,,,,,,,,,,,,,,"Wilyer Abreu","23772",677800
"Isaac Paredes","HOU",117,504,431,105,64,19,1,21,61,68,58,0,85,11,3,0,,1,1,0.243111,0.115114,0.168605,0.682745,0.345832,0.43754,0.342713,0.783372,0.194428,2.27382,0.255631,-0.241777,-1.02738,71.6876,12.1361,121.201,-1.26916,-0.506544,11.324982762336731,-5.40654456615448,2.38033,236.8300018310547,,,,,,,621.3,5.31025641,621.3,5.31025641,,,,,,,,,,,,,,,,,,,"Isaac Paredes","20036",670623
"Jarren Duran","BOS",139,602,542,140,81,35,8,16,79,69,48,1,140,7,3,1,,21,5,0.258419,0.0801079,0.232581,0.344429,0.325545,0.440867,0.331018,0.766412,0.182448,7.18824,0.319019,1.61464,1.35554,79.9104,8.77949,108.373,2.97018,2.67935,8.911322116851807,-6.370653390884399,2.37984,67.06999969482422,,,,,,,730.4,5.254676258,730.4,5.254676258,,,,,,,,,,,,,,,,,,,"Jarren Duran","24617",680776
"Bo Naylor","CLE",115,454,398,87,49,19,1,17,54,54,49,1,109,2,3,2,,4,2,0.218144,0.107497,0.240919,0.446198,0.305127,0.401769,0.30829,0.706896,0.183625,3.73496,0.253618,-0.0751871,-0.604906,51.933,-1.7579,98.098,-0.680093,-0.187146,-1.6987555623054504,8.68785373866558,2.3578,651.6099853515625,,,,,,,464.8,4.04173913,464.8,4.04173913,,,,,,,,,,,,,,,,,,,"Bo Naylor","21865",666310
